FID,objectid,tur_id,alt_tur_id,adi,ilce_id,mah_id,csbm_id,adres,eposta,telefon,fax,onay,poi_id,derece,ncsbm_id,ozel_kateg,url
18,1621,91,340,Kobis Altýnkemer Sahil,1440,50376,48149694, , , , ,1,24693,2,0, , 
19,1643,91,340,Kobis Seka Park Otel,2062,50158,59693275, , , , ,1,24686,2,0, , 
20,1645,91,340,Kobis Gençlik Merkezi,2062,50159,59693275, , , , ,1,24687,2,0, , 
21,1647,91,340,Kobis Dereköy Sahil,1440,50379,21943071, , , , ,1,24694,2,0, , 
22,1680,91,340,Kobis Dr Sadýk Ahmet 41 Burda,2062,50162,32322216, , , , ,1,24688,2,0, , 
23,1681,91,340,Kobis Kandýra Kent Meydaný,1430,50372,76429281, , , , ,1,24695,2,0, , 
24,1716,91,340,Kobis Gölkaypark,2062,573105,82609843, , , , ,1,24689,2,0, , 
25,1717,91,340,Kobis Kandýra Otogar,1430,50372,94220142, , , , ,1,24696,2,0, , 
26,1757,91,340,Kobis Baþiskele Sahil,2058,50236,62316096, , , , ,1,24690,2,0, , 
27,1760,91,340,Kobis Cebeci Sahil,1430,322826,56124084, , , , ,1,24697,2,0, , 
28,1787,91,340,Kobis Körfez Belediyesi,1821,50403,37526399, , , , ,1,24698,2,0, , 
29,1800,91,340,Kobis Yarýmca Sahil,1821,50403,49296874, , , , ,1,24699,2,0, , 
30,1801,91,340,Kobis Hereke Sahil,1821,50408,40419939, , , , ,1,24700,2,0, , 
31,1821,91,340,Kobis Tavþancýl Sahil,2061,50322,57002339, , , , ,1,24701,2,0, , 
32,2133,91,340,Kobis Naila 2,2058,50236,62316096,Körfez Mah. Liman Cad. Baþiskele / Kocaeli, ,4441141, ,1,20928,2,72197627, , 
33,2142,91,340,Kobis Karamürsel Sahil,1440,50376,71650410,4 Temmuz Mah. Gazanfer Bilge Cad. Karamürsel / Kocaeli, ,4441141, ,1,20925,2,26329326, , 
